------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <rng3/dump_m7-bundled.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 18  12   8   9   9  14   6   6  11   7  0.153763     95/100  *  NonOverlappingTemplate
 17  10  10   9  14   7   5   8  12   8  0.262249     94/100  *  NonOverlappingTemplate
 21  17  11  10  10   5   4   8  12   2  0.000375     91/100  *  NonOverlappingTemplate
 21  11   8   8  11  10   8  10   6   7  0.066882     93/100  *  NonOverlappingTemplate
 17   5   9   9  12  10   9   8  11  10  0.474986     92/100  *  NonOverlappingTemplate
 17   6   9  12   6  17   9   9  10   5  0.062821     93/100  *  NonOverlappingTemplate
 22   8   7  11   9   9   6   6  11  11  0.021999     94/100  *  NonOverlappingTemplate
 18   9  12   6   7  18   4  12   4  10  0.005358     94/100  *  NonOverlappingTemplate
 17  10  13  10   3  11   6  12   6  12  0.096578     95/100  *  NonOverlappingTemplate
 22  10  11   9  13   5   8   9   7   6  0.012650     93/100  *  NonOverlappingTemplate
 20  10   6  10  10   8   7  10  12   7  0.115387     94/100  *  NonOverlappingTemplate
 16  10   8   9  11  16   8   9   6   7  0.289667     96/100     NonOverlappingTemplate
 10  17   7   7  10   9  13   7  12   8  0.401199     98/100     NonOverlappingTemplate
 16   7   5   8   6  15  14  15   5   9  0.032923     92/100  *  NonOverlappingTemplate
 18   3   8  14  12   7   9   9  11   9  0.090936     93/100  *  NonOverlappingTemplate
 17  11   9   8  13   9   4  11  11   7  0.262249     92/100  *  NonOverlappingTemplate
 20  11   8   6   9   9  12   7   6  12  0.075719     89/100  *  NonOverlappingTemplate
 21  10  14   5   7   8   8  10   7  10  0.026948     96/100     NonOverlappingTemplate
 25   5  11  13   4   7  11  14   7   3  0.000017 *   93/100  *  NonOverlappingTemplate
 21  10   8   6   8  14   3  13   7  10  0.006661     92/100  *  NonOverlappingTemplate
 15  13  18   9   4   6   9  10   7   9  0.062821     93/100  *  NonOverlappingTemplate
 21   8   4   9   7  11  15   7   7  11  0.010237     93/100  *  NonOverlappingTemplate
